127.0.0.1, 2016-06-22 18:57:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 18:57:32, POST, /admin/default/index, HTTP/1.1, 303, 0.115000
127.0.0.1, 2016-06-22 18:57:32, GET, /admin/default/site, HTTP/1.1, 200, 0.235000
127.0.0.1, 2016-06-22 18:57:32, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.026000
127.0.0.1, 2016-06-22 18:57:33, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-06-22 18:57:33, POST, /admin/default/check_version, HTTP/1.1, 200, 0.537000
127.0.0.1, 2016-06-22 18:57:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 18:57:39, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 1.592000
127.0.0.1, 2016-06-22 18:57:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 18:57:41, GET, /admin/default/ticket/Atento_Brigada/127.0.0.1.2016-06-22.18-57-37.021121a6-a20e-4609-91db-a6a137673cd5, HTTP/1.1, 200, 0.192000
127.0.0.1, 2016-06-22 18:57:42, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-22 18:57:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 18:59:13, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 0.355000
127.0.0.1, 2016-06-22 18:59:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 18:59:14, GET, /admin/default/ticket/Atento_Brigada/127.0.0.1.2016-06-22.18-59-12.243c223b-7a1f-43d1-ad7c-bbfe083d0bcd, HTTP/1.1, 200, 0.163000
127.0.0.1, 2016-06-22 18:59:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 19:00:47, GET, /Atento_Brigada/default/index, HTTP/1.1, 500, 0.191000
127.0.0.1, 2016-06-22 19:00:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-22 19:00:48, GET, /admin/default/ticket/Atento_Brigada/127.0.0.1.2016-06-22.19-00-47.c6790d70-9f61-4774-9d66-f0420b9f8fcf, HTTP/1.1, 200, 0.212000
127.0.0.1, 2016-06-22 19:00:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 19:04:01, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2016-06-22 19:04:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.993000
127.0.0.1, 2016-06-22 19:04:09, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.082000
127.0.0.1, 2016-06-22 19:04:37, POST, /welcome/default/user/register, HTTP/1.1, 200, 0.152000
127.0.0.1, 2016-06-22 19:04:49, POST, /welcome/default/user/register, HTTP/1.1, 303, 0.610000
127.0.0.1, 2016-06-22 19:04:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.071000
127.0.0.1, 2016-06-22 19:05:07, GET, /welcome/default/user/logout, HTTP/1.1, 303, 0.158000
127.0.0.1, 2016-06-22 19:05:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.058000
127.0.0.1, 2016-06-22 19:05:09, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-06-22 19:05:17, POST, /welcome/default/user/login, HTTP/1.1, 303, 0.264000
127.0.0.1, 2016-06-22 19:05:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.062000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.013000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.014000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.011000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.010000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.011000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.005000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-06-22 19:11:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:11:13, GET, /admin/default/site, HTTP/1.1, 200, 1.456000
127.0.0.1, 2016-06-22 19:11:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-06-22 19:11:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 200, 0.636000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.077000
127.0.0.1, 2016-06-22 19:11:19, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.077000
